"id","region","price","type","sqfeet","beds","baths","cats_allowed","dogs_allowed","smoking_allowed","wheelchair_access","electric_vehicle_charge","comes_furnished","laundry_options","parking_options","description","lat","long","state"
7049829056,"inland empire",1863,"apartment",985,2,2,0,0,1,0,0,0,"","","Welcome to Brookwood Villas Welcome to life made simple at Brookwood Villas Apartments. Located in the heart of the city, you'll find contemporary one and two bedroom apartments in Corona, CA that feature vaulted ceilings, two-tone paint, upgraded carpet, hardwood style flooring, and private balconies and patios. You can get in your morning workout at the fitness center, join friends and family at the tennis and racquetball court, or relax in the pool and spa on a sunny day. We are also a pet-friendly community so feel free to visit our doggy park with your furry friends! We are convenient to a host of nearby shopping, dining, and entertainment, and just minutes from the 91 Freeway and the 241 Toll Road, offering easy access to Orange County. We are also conveniently located near the Corona-Norco School District.  Call Now:  show contact info  x 5OR Text 5 to  show contact info  to text with us.Follow This Link for More Information:http://live.fpimgt.com/55s83w This is a 2 Bedroom, 2 Bath, approximately 985 Sq. Ft. Features - Dishwasher  - French door*  - Digital/Cable TV available  - Central air conditioning & heating  - Storage areas  - Gas cooking  - Refrigerator  - Fireplace*  - Kitchen pantries  - Private patios/balconies  - Two-tone paint palette  - Ceiling fans*  - Microwave  - Hardwood-style floors  - Walk-in closets  - Vaulted ceilings (top levels)  - Separate dining rooms Community Amenities - EV Charging Stations  - BBQ areas throughout community  - Covered parking  - Professional on-site managemen  - Clubhouse with catering kitchen & large screen TV  - Gated community with controlled access  - Business center  - Fitness center with free weights  - Sparkling pool & spa  - Night-lit tennis court  - Rentable clubhouse  - Racquetball court  - Dog park Pet Policy Contact for details. Office Hours Monday-Sunday:9:00AM-6:00PMBrookwood Villas 1885 San Remo Dr, Corona, CA, 92882Equal Housing Opportunity xf0Sw8uLVcS",33.8627,-117.593,"ca"
7047337940,"champaign urbana",725,"apartment",1645,4,2.5,1,1,1,0,0,0,"","","Ofrece amplios planes de piso, amenidades excepcionales, una ubicaciÃ³n conveniente y de alto nivel de los alquileres del apartamento, Golfview Village Apartamentos en Rantoul, IL es un ideal de la comunidad del apartamento que usted serÃ¡ orgulloso llamar a casa. Sabemos que usted tiene un montÃ³n de opciones acerca de dÃ³nde vivir, pero no encontrarÃ¡s nada mejor que Golfview! Cuando usted se muda a Golfview Pueblo, usted experimentarÃ¡ un ambiente sereno, parque. Ofrecemos planes de piso que van del 2 al 4 dormitorios en tamaÃ±o. Y no olvides, sus mascotas son bienvenidas! Estamos comprometidos a proporcionar un servicio superior al cliente y de comodidades modernas en una ubicaciÃ³n conveniente. Venir a ver a su nuevo hogar hoy!  -Servicio De LavanderÃ­a -Mantenimiento En Sitio -Zona de juegos infantil -El Parque Del Perro -Nuestros Residentes Reciben Un Descuento en la membresÃ­a de un gimnasio con servicio de 24 Horas de la Aptitud -Patio  -W/D Del Circuito -Aire Acondicionado  Llame al:  show contact info    Lunes-viernes: 08:00 AM-06:00 PM SÃ¡bado: 10:00 AM-04:00 PM  620 Willow Pond Road, Rantoul, ILLINOIS 61866  Igualdad De Oportunidades De Vivienda. Especiales estÃ¡n sujetas a disponibilidad y pueden terminar o modificar en cualquier momento. Ofertas y descuentos no se pueden combinar. Las tarifas estÃ¡n sujetas a cambio sin previo aviso.",40.3025,-88.1335,"il"
7040946058,"des moines",1004,"apartment",1062,2,2,0,0,1,0,0,0,"","","92West	                        Property Address	                        	                          1770 92nd Street, ,                               West Des Moines, IA, 50266	                        						http://92west.prospectportal.com/su/zbfxt3					    Move-in ready 2 bed and 2 bath units are available right now. Settle into your new 1062 Sq. Ft. square foot home in a friendly community with stunning amenities. With rents starting at $1,004.00, these units won't last. Call us to schedule a tour or get started on an application today!						    Floor Plan Details						    									Name: C1						             2 Bedrooms / 2 Bathrooms									1062 Sq. Ft.									$1,004.00 - $1,147.00															  Community Amenities																	 Theater Room									 Fitness Center									 Package Service									 Pool																Property Contact								 									 show contact info 																							ADA ACCESSIBLE																						EQUAL HOUSING OPPORTUNITY",41.5695,-93.7994,"ia"
7049329503,"inland empire",1525,"apartment",740,2,1,0,0,1,0,0,0,"","","Ascot Park Apartments is located at 1422 E 9th Street San Bernardino, CA and is managed by SoCal Pacific Management, a reputable property management company with verified listings on RENTCafe. Ascot Park Apartments offers 1 to 3 bedroom apartments ranging in size from 610 to 1007 sq.ft. Amenities include Air Conditioner, BBQ/Picnic Area, Cable Ready, Carport, Ceiling Fan and more. This rental community is pet-friendly, welcoming both cats and dogs. Property is located in the 92410 ZIP code. For more details, contact our office at  show contact info  or use the online contact form and we will get back to you as soon as possible.  -Dishwasher -Hardwood Floors -Refrigerator -Air Conditioner -BBQ/Picnic Area -On-Site Maintenance -Gas Range -Controlled Access/Gated -Pool -Cable Ready -Playground -Night Patrol  Call:  show contact info",34.1069,-117.298,"ca"
7026934016,"valdosta",936,"apartment",1230,3,2,1,1,1,0,0,0,"","","From the moment you step on our meticulously landscaped grounds to when you open the door of your new apartment, you'll experience the lifestyle you deserve at PROSPER Azalea City. Our dedicated, professional staff is here to help assure your time here is a pleasant and convenient experience. PROSPER Azalea City features a sparkling pool and sundeck, clubhouse, pet play area, and high-speed internet access. Life here places you in an award-winning school district, close to shopping, local museums, Moody Air Force Base, and parks.You are encouraged to learn more about our property details and view our one, two and three-bedroom floor plans. Browse our photo gallery and review our listings. Fill out an online application or connect with our team to schedule your personal tour. Live the lifestyle you deserve. Enjoy apartment living to its fullest at PROSPER Azalea City.  -Dishwasher -Pet play area -Balconies -Window Coverings -Sundeck -Courtesy patrol -Pantry -Laundry facilities on-site -Professional management -Oven -Unparalleled resident functions -Maintenance on-site  Call:  show contact info   *Pricing and availability are subject to change.",30.8574,-83.2676,"ga"
7048996336,"tucson",950,"apartment",1000,2,1.5,1,1,1,0,0,0,"","","American Village Apartments 2 Bed / 1.5 Bath - 1000 SQFTBed: 2Bath: 1.5Rent: 950SQFT: 10001241 W Roger RoadTucson AZ 85705 show contact info  Here at American Village we take pride in our services which consist of community gatherings, friendly service and a quiet community for all our Residents to enjoy. American Village Apartments is located on the central/northwest border of Tucson. Our residents appreciate the close proximity to major employers, shopping, dining, and major freeway access!  We also furnish luscious landscape, 24 hr maintenance, a soda machine, caring onsite management, and more. we are so close to everything, it's the perfect place to live!! Call us today and one of our friendly and professional staff members will assist you! We look forward to welcoming you home!We are located in central Tucson close to I10, shopping, restaurants and located on a bus line. Select units include lots of closet space and pantries, all of our units have a patio or balcony! Some kind words from our current tenants: ""Kind, caring and considerate staff, all do an excellent job! Clean, bright, and convenient; very well-maintained grounds and apartments. The complimentary cable and WIFI are added benefits!""Water, Sewer & Trash Included!Our AmenitiesWater, Sewer & Trash Included!Large Kitchens, Closets, and BedroomsBuilt-In BookshelvesFREE Community-Wide WiFi & CableHardwood Floors / Tile FloorsPlanned Social ActivitiesCourtyard, Pool, Pet Play AreaPicnic Area with BarbecueBuilt-In Microwaves & Fully Furnished KitchenStorage UnitsMulti Use Room, LibraryFish and Reptiles Allowed",32.2795,-110.993,"az"
7049261476,"inland empire",2000,"apartment",876,1,1,1,1,1,0,0,0,"w/d in unit","","The Angelica Rancho Cucamonga, managed by Holland Residential 7828 Day Creek Blvd Rancho Cucamonga, CA 91739  show contact info   With spacious floor plans as well as flexible lease terms The Angelica Rancho Cucamonga has redefined luxury apartment living.   Spacious one bedroom with one bath, separate dining space and in-home laundry. This apartment requires a $400 deposit.  Monday 10:00am - 6:00pm Tuesday 10:00am - 6:00pm Wednesday 10:00am - 6:00pm Thursday 10:00am - 6:00pm Friday 10:00am - 6:00pm Saturday 10:00am - 6:00pm Sunday 10:00am - 5:00pm  Apartment Features * Whirlpool Appliances * Pantry * Private Patio or Private Balcony (on select apartments) * Microwave * Ceiling Fan * Refrigerator * Linen Closet * Dishwasher * Garden Tub * Pre-wired for internet and cable * Full sized Washer and Dryer in unit     VIEW OUR WEBSITE:  https://www.hollandresidential.com/angelica-cl    [#7004890]",34.1113,-117.539,"ca"
7022635727,"athens",980,"apartment",988,2,2,1,1,1,0,0,0,"w/d hookups","off-street parking","Come Home to Serene at Creekstone Welcome to Serene at Creekstone, a quiet retreat with easy access to all things Athens! Conveniently located near the Athens Perimeter, University of Georgia, and the Athens Amphitheater, our 1 and 2-bedroom duplex-style homes feature modern interiors and fixtures that meet a variety of housing needs. Amenities include a community movie theater, on-site gym, Wi-Fi center, package receiving, and valet trash services. Visit our pet-friendly community today and learn why residents love calling our community home.  -Dishwasher -Freeway Access -Alarm System -Street Parking -Washer/Dryer Hookup -On-site Maintenance -Refrigerator -Business Center  Call:  show contact info",33.9761,-83.3632,"ga"
7031428299,"show low",683,"apartment",1050,3,2,1,1,1,0,0,0,"w/d hookups","","MOVE-IN SPECIAL! $350 off 3BR Move-In Costs  Do You Want to Build a Snowman? Call Now:  show contact info Eagle Cove Apartments 1856 E Apache Dr, Eagar, AZ, 85925Interested in more information? Visit link below:http://kaykayrealty.aptdetails.com/h6xe92 This is a 3 Bedroom, 2 Bath, approximately 1050 Sq. Ft.  One of Eagar's newest apartment communities, Eagle Cove Apartments offers spacious 2 and 3 bedroom apartments at an affordable price. Located just off the intersection of highways 180 and 191, Eagle Cove is minutes from Springerville and Eagar, and all this area has to offer. Features - The 3 bedroom/2 bath floor plan offers a spacious floor plan with large rooms including a walk-in closet in the master bedroom, washer/dryer hook-ups and a patio or balcony Community Amenities - Playground & Picnic Area with grill  - Beautiful Club House with Business Center  - On-Site Laundry Pet Policy Pets Welcome -Breed Restrictions & Deposits Apply Driving Directions Eagle Cove is located just off the intersection of Highway 180 and 191 on East Apache Drive. Office Hours Monday-Friday:8:30AM-5:00PMEqual Housing Opportunity EzsStMo732f",34.1077,-109.249,"az"
7028131671,"gulfport / biloxi",619,"apartment",925,2,1,1,1,1,0,0,0,"laundry on site","off-street parking","Villas sur la Riviere offers one and two-bedroom, 2 story townhomes in a most convenient location! We're just minutes away from the area's finest beaches and downtown Gulfport, yet we're just off the hustle and bustle of Pass Road!!! We're also right next to Gulfport's latest amenity, a new dog park!!! Hey....why live in an apartment when, for a similar price you can live in a townhome!!! Coming home to the Villas at the end of a hard day is like returning to a nature preserve!!! Stroll our manicured grounds.... play croquet.... soccer.... volleyball.... badminton.... or take a dip in our salt water pool!! Perhaps you'd prefer to just sit back and sip a cool drink at one of our many outdoor patios.... all furbished with table, chairs and bright blue umbrellas. The Villas also offers a lease with a 30-day clause, which will enable you to leave the last day of any month with 30 days' notice!!! Perfect for the short-term relocation! *This week hosts a special just for you!! We're offering $250 off the first month and no deposit!! Stop by and lease at the Villas today!!  Office Hours Monday-Saturday: 9am - 5pm Sunday: 12-5pm",NA,NA,"ms"
