"idcode" "year" "age" "grade" "not_smsa" "south" "union" "t0" "southXt" "black"
1 72 20 12 0 0 1 2 0 1
1 77 25 12 0 0 0 7 0 1
1 80 28 12 0 0 1 10 0 1
1 83 31 12 0 0 1 13 0 1
1 85 33 12 0 0 1 15 0 1
1 87 35 12 0 0 1 17 0 1
1 88 37 12 0 0 1 18 0 1
2 71 19 12 0 0 0 1 0 1
2 77 25 12 0 0 1 7 0 1
2 78 26 12 0 0 1 8 0 1
2 80 28 12 0 0 1 10 0 1
2 82 30 12 0 0 1 12 0 1
2 83 31 12 0 0 1 13 0 1
2 85 33 12 0 0 1 15 0 1
2 87 35 12 0 0 1 17 0 1
2 88 37 12 0 0 1 18 0 1
3 70 24 12 0 0 1 0 0 1
3 71 25 12 0 0 0 1 0 1
3 72 26 12 0 0 0 2 0 1
3 73 27 12 0 0 0 3 0 1
3 77 31 12 0 0 0 7 0 1
3 78 32 12 0 0 0 8 0 1
3 80 34 12 0 0 0 10 0 1
3 82 36 12 0 0 0 12 0 1
3 83 37 12 0 0 0 13 0 1
3 85 39 12 0 0 0 15 0 1
3 87 41 12 0 0 0 17 0 1
3 88 42 12 0 0 0 18 0 1
4 70 24 17 0 0 1 0 0 0
4 71 25 17 0 0 1 1 0 0
4 72 26 17 0 0 1 2 0 0
4 80 34 17 0 0 0 10 0 0
4 82 36 17 0 0 0 12 0 0
4 83 37 17 0 0 0 13 0 0
4 85 39 17 0 0 0 15 0 0
4 87 41 17 0 0 1 17 0 0
4 88 43 17 0 0 1 18 0 0
5 70 24 12 0 0 0 0 0 0
5 71 25 12 0 0 0 1 0 0
5 72 26 12 0 0 0 2 0 0
5 73 27 12 0 0 0 3 0 0
5 77 31 12 0 0 0 7 0 0
5 80 34 12 0 0 0 10 0 0
5 82 36 12 0 0 0 12 0 0
6 71 24 12 0 0 0 1 0 0
6 72 25 12 0 0 0 2 0 0
6 73 26 12 0 0 0 3 0 0
6 77 30 12 0 0 0 7 0 0
6 78 31 12 0 0 1 8 0 0
6 80 33 12 0 0 0 10 0 0
6 82 35 12 0 0 0 12 0 0
6 83 36 12 0 0 1 13 0 0
6 85 38 12 0 0 0 15 0 0
6 87 40 12 0 0 0 17 0 0
6 88 42 12 0 0 0 18 0 0
